Pattern,Problem,Source,Path,Last Reviewed (YYYY-MM-DD),Confidence (1-5),Notes
Arrays,Longest  Consecutive  Sequence,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P9_Longest_Consecutive_Sequence.java,,,
Arrays,Longest Sub Array,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P12_LongestSubArray.java,,,
Arrays,Longest Sub Array With Given SumK,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P12_LongestSubArrayWithGivenSumK.java,,,
Arrays,Longest Sub Array With Sum,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Easy/P9_LongestSubArrayWithSum.java,,,
Arrays,Longest Substring,Array,src/main/java/Array/LongestSubstring.java,,,
Arrays,Majority  Element,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P3_Majority_Element.java,,,
Arrays,Majority  Element N 3,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_3_Hard/P2_Majority_Element_N_3.java,,,
Arrays,Majority Element,Array,src/main/java/Array/MajorityElement.java,,,
Arrays,Majority Element,Practice2025,src/main/java/Practice2025/Grind75/Array/P3_MajorityElement.java,,,
Arrays,Majority Element,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part3/P3_MajorityElement.java,,,
Arrays,Majority Element,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Medium/P3_MajorityElement.java,,,
Arrays,Majority Element N3,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part3/P4_MajorityElement_N3.java,,,
Arrays,Max  Sub Array,Leetcode,src/main/java/Leetcode/MustDoEasyQuestions/P4_Max_SubArray.java,,,
Arrays,Max Consecutive Ones,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P11_MaxConsecutiveOnes.java,,,
Arrays,max Money,Array,src/main/java/Array/maxMoney.java,,,
Arrays,Max Prod Array,TakeUForward,src/main/java/TakeUForward/Blind75/Array/P6_MaxProdArray.java,,,
Arrays,Max Prod Sub Array,Blind75,src/main/java/Blind75/S1_Array/P6_MaxProdSubArray.java,,,
Arrays,Max Product Sub Array,Session,src/main/java/Session/May2024/Blind75/Day1_Array/P6_MaxProductSubArray.java,,,
Arrays,Max Sub Array,Blind75,src/main/java/Blind75/S1_Array/P5_MaxSubArray.java,,,
Arrays,Max Sub Array,TakeUForward,src/main/java/TakeUForward/Blind75/Array/P5_MaxSubArray.java,,,
Arrays,Max Sum Sub Array,Session,src/main/java/Session/May2024/Blind75/Day1_Array/P5_MaxSumSubArray.java,,,
Arrays,Maximum  Sub Array,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P4_Maximum_SubArray.java,,,
Arrays,Maximum Sub Array,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part1/P4_MaximumSubArray.java,,,
Arrays,maximum Sum No Adjacent,Array,src/main/java/Array/maximumSumNoAdjacent.java,,,
Arrays,Maximum Sum Sub Array,Practice75Problems,src/main/java/Practice75Problems/Array/P5_MaximumSumSubArray.java,,,
Arrays,Maximum Sum Sub Array,Array,src/main/java/Array/Practice_2022/MaximumSumSubArray.java,,,
Arrays,Merge  Sorted  Array,Leetcode,src/main/java/Leetcode/MustDoEasyQuestions/P5_Merge_Sorted_Array.java,,,
Arrays,Merge 2D  Arrays,LC_Contest,src/main/java/LC_Contest/Weekly/Weekly_19th_Feb/P1_Merge_2D_Arrays.java,,,
Arrays,merge Array,Array,src/main/java/Array/mergeArray.java,,,
Arrays,merge Sorted Array  Prob,TechBoost_Old,src/main/java/TechBoost_Old/mergeSortedArray_Prob.java,,,
Arrays,Merge Two Sorted Arrays,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part2/P3_MergeTwoSortedArrays.java,,,
Arrays,Min Platforms,Session,src/main/java/Session/May2024/TechBoost/Arrays/P4_MinPlatforms.java,,,
Arrays,min Window,Array,src/main/java/Array/minWindow.java,,,
Arrays,Missing  Number  In  Array,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P10_Missing_Number_In_Array.java,,,
Arrays,missing Number,Array,src/main/java/Array/missingNumber.java,,,
Arrays,Most Words Found,Array,src/main/java/Array/Practice_2022/MostWordsFound.java,,,
Arrays,Move All Zeroes End,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Easy/P6_MoveAllZeroesEnd.java,,,
Arrays,Move Zeroes,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P7_MoveZeroes.java,,,
Arrays,n Array  Prob,TechBoost_Old,src/main/java/TechBoost_Old/nArray_Prob.java,,,
Arrays,Next  Permutation,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P7_Next_Permutation.java,,,
Arrays,Next Permutation,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part1/P3_NextPermutation.java,,,
Arrays,Number Appear Once,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P13_NumberAppearOnce.java,,,
Arrays,Odd Times,Array,src/main/java/Array/OddTimes.java,,,
Arrays,Pair Sum,Array,src/main/java/Array/PairSum.java,,,
Arrays,Pallindrome,Array,src/main/java/Array/Pallindrome.java,,,
Arrays,Pascals  Triangle,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_3_Hard/P1_Pascals_Triangle.java,,,
Arrays,Pascals Triangle,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part1/P2_PascalsTriangle.java,,,
Arrays,perform Ops,Array,src/main/java/Array/performOps.java,,,
Arrays,Permuation,CrackingCoding,src/main/java/CrackingCoding/Array/Permuation.java,,,
Arrays,Permuation,Array,src/main/java/Array/Permuation.java,,,
Arrays,permutation prob,CrackingCoding,src/main/java/CrackingCoding/Array/Jan_2018/permutation_prob.java,,,
Arrays,Positive Diff Index,Array,src/main/java/Array/Practice_2022/OnlineTest/PositiveDiffIndex.java,,,
Arrays,power,Array,src/main/java/Array/power.java,,,
Arrays,Power Of Number,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part3/P2_PowerOfNumber.java,,,
Arrays,Print  Sub Array  Maximum,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P5_Print_SubArray_Maximum.java,,,
Arrays,Product  Array  Self,TakeUForward,src/main/java/TakeUForward/Blind75/Array/P4_Product_Array_Self.java,,,
Arrays,Product Array,Practice75Problems,src/main/java/Practice75Problems/Array/P4_ProductArray.java,,,
Arrays,Product Array,Blind75,src/main/java/Blind75/S1_Array/P4_ProductArray.java,,,
Arrays,Product Of Array,Session,src/main/java/Session/May2024/Blind75/Day1_Array/P4_ProductOfArray.java,,,
Arrays,read From Last Line,Array,src/main/java/Array/readFromLastLine.java,,,
Arrays,Rearrange  Elements  By  Sign,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_2_Medium/P6_Rearrange_Elements_By_Sign.java,,,
Arrays,remove Adjacent,Array,src/main/java/Array/removeAdjacent.java,,,
Arrays,remove Duplicates,Array,src/main/java/Array/removeDuplicates.java,,,
Arrays,Remove Duplicates,TakeUForward,src/main/java/TakeUForward/CompleteCourse_456/S3_Arrays/S3_1_Easy/P4_RemoveDuplicates.java,,,
Arrays,Remove Duplicates,Session,src/main/java/Session/StriverA2Z/Arrays_1/P4_RemoveDuplicates.java,,,
Arrays,Remove Duplicates,Session,src/main/java/Session/May2024/StriversA2ZSheet/Step3_Arrays/Easy/P4_RemoveDuplicates.java,,,
Arrays,Remove One Element,Array,src/main/java/Array/LC/Easy/RemoveOneElement.java,,,
Arrays,Repeated Word,Array,src/main/java/Array/RepeatedWord.java,,,
Arrays,Repeating Missing Number,StriverSDESheet,src/main/java/StriverSDESheet/Arrays_Part2/P5_RepeatingMissingNumber.java,,,
Arrays,Replace String,CrackingCoding,src/main/java/CrackingCoding/Array/ReplaceString.java,,,
Arrays,Replace String,Array,src/main/java/Array/ReplaceString.java,,,
Arrays,reverse Array,Array,src/main/java/Array/reverseArray.java,,,
Arrays,Reverse String,CrackingCoding,src/main/java/CrackingCoding/Array/ReverseString.java,,,
